Name,Slug,Description,Address,City,State,Zip,County,Phone,Website URL,Google Maps URL,Photo URL,Hours,Services,Care Types,Payment Options,Licensing,Accreditation,Languages,Service Area,Year Established,Rating,Review Count,Status,Date Added,Latitude,Longitude
"Home Helpers Home Care of Milton, FL",home-helpers-home-care-milton-fl,"Our team of experienced caregivers is committed to understanding and addressing the unique needs of each client, ensuring that they receive the best possible care tailored to their individual circumstances. As one of the nation’s leading providers of senior care, we deliver a broad range of services designed to support clients facing various conditions and challenges.",5941 Berryhill Rd SUITE G,Milton,Florida,32570,Santa Rosa,(850) 896-7224,https://homehelpershomecare.com/milton-fl/,"https://www.google.com/maps/place/Home+Helpers+Home+Care+of+Milton,+FL/@30.6335897,-87.0736097,907m/data=!3m3!1e3!4b1!5s0x8890ef82991f45a9:0x2a513c26a0c4b1a1!4m6!3m5!1s0x8890efc28f8b3e71:0xe57a34cdc22f8195!8m2!3d30.6335897!4d-87.0710348!16s%2Fg%2F11xkldxvgx?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",,Open 24 Hours,"Companion Services,Homemaking,Personal Care,Alzheimer's & Dementia Care,Live-In Care,Respite Care,Post-Surgery Care,Hospice Support,Veterans Care,Transportation",,"Private Pay,Long-Term Care Insurance",,,English,,,5.0,1.0,,3/14/2026,30.6335897,-87.0736097
Comfort Keepers In Home Care,comfort-keepers-in-home-care-pittsburgh-pa,Comfort Keepers is a leading provider of trusted in-home senior care and companion care. Learn more about our care services and find an office near you.,"5165 Penn Ave, Pittsburgh, PA 15224",Pittsburgh,Pennsylvania,15224,Garfield,(412) 203-5217,https://www.comfortkeepers.com/offices/pennsylvania/pittsburgh-city/%3Futm_source%3Dlocal%26utm_medium%3Dorganic,"https://www.google.com/maps/place/Comfort+Keepers+In+Home+Care/@40.4648391,-79.9404325,14z/data=!4m8!1m2!2m1!1sComfort+Keepers+In+Home+Care!3m4!1s0x8834f269f258487b:0x35b59ff5508dc2b!8m2!3d40.4648391!4d-79.9404325",/static/images/comfort-keepers-in-home-care-pittsburgh.jpg,Daily: Open 24 hours,"Companion Services,Live-In Care",,Private Pay,,,English,,,5.0,10.0,Active,3/15/2026,40.4648391,-79.9404325
Liken Home Care,liken-home-care-pittsburgh-pa,"Liken Home Care has been providing Skilled Nursing, Nurse Directed Care, and Personal Care services since 1974. They specialize in private duty home care for the elderly, recovering ill, and disabled individuals in Western Pennsylvania. Liken Home Care...","103 Yost Blvd #201, Pittsburgh, PA 15221",Pittsburgh,Pennsylvania,15221,,(412) 816-0113,http://likenhomecare.com/,"https://www.google.com/maps/place/Liken+Home+Care/@40.4143402,-79.8486015,14z/data=!4m8!1m2!2m1!1sLiken+Home+Care!3m4!1s0x8834eebef191f6fb:0x819f7eac49e304f9!8m2!3d40.4143402!4d-79.8486015",/static/images/liken-home-care-pittsburgh.jpg,Daily: Open 24 hours,Personal Care,,Private Pay,,,English,,,4.7,14.0,Active,3/15/2026,40.4143402,-79.8486015
"Home Instead, Home Care Services of Central Pittsburgh",home-instead-home-care-services-of-central-pittsburgh-pittsburgh-pa,"In-home senior care services provided by Home Instead of Omaha, NE, helps seniors age safely at home. Other available services include hospice support. Families can pay through Private Pay. With a 4.7-star Google rating from 27 reviews, Home Instead, Home Care Services of Central Pittsburgh is well-regarded by families in the area. Contact Home Instead, Home Care Services of Central Pittsburgh to learn more about creating a personalized care plan for your loved one.","2400 Ardmore Blvd 9th Floor, Pittsburgh, PA 15221",Pittsburgh,Pennsylvania,15221,,(412) 517-6119,https://www.homeinstead.com/home-care/usa/pa/pittsburgh/567/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle_organic_businesslisting_y,"https://www.google.com/maps/place/Home+Instead%2C+Home+Care+Services+of+Central+Pittsburgh/@40.415034299999995,-79.8475373,14z/data=!4m8!1m2!2m1!1sHome+Instead%2C+Home+Care+Services+of+Central+Pittsburgh!3m4!1s0x8834eebea2020c01:0x785e1d4d56aa275d!8m2!3d40.415034299999995!4d-79.8475373",/static/images/home-instead-home-care-services-of-central-pittsburgh-pittsburgh.jpg,Daily: Open 24 hours,Hospice Support,,Private Pay,,,English,,,4.7,27.0,Active,3/15/2026,40.4150343,-79.8475373
Purpose Of Life Home Health Care Agency,purpose-of-life-home-health-care-agency-pittsburgh-pa,"Purpose Of Life Home Health Care Agency provides live-in care services to residents of Pittsburgh, Pennsylvania, helping clients maintain independence and comfort in their own homes. The agency accepts Medicaid as a payment option and serves English-speaking clients. For specific information about care types and personalized services, interested families are encouraged to contact the agency directly.","5001 Baum Blvd, Pittsburgh, PA 15213",Pittsburgh,Pennsylvania,15213,Bloomfield,(412) 688-7367,https://purposeoflifeha.com/,"https://www.google.com/maps/place/Purpose+Of+Life+Home+Health+Care+Agency/@40.455307,-79.94520399999999,14z/data=!4m8!1m2!2m1!1sPurpose+Of+Life+Home+Health+Care+Agency!3m4!1s0x8834f23e8f97769b:0x5e67283dbd66926e!8m2!3d40.455307!4d-79.94520399999999",/static/images/purpose-of-life-home-health-care-agency-pittsburgh.jpg,,Live-In Care,,Medicaid,,,English,,,3.8,5.0,Active,3/15/2026,40.4553070,-79.9452040
CareBuilders at Home,carebuilders-at-home-pittsburgh-pa,CareBuilders at home is a national network of private duty home care agencies providing non-medical care and comprehensive home health care solutions to the elderly and others who require assistance. Contact us today for a free in-home care assessment.,"821 Main St, Pittsburgh, PA 15215",Pittsburgh,Pennsylvania,15215,,(412) 782-4275,https://www.carebuildersathome.com/pittsburgh/,"https://www.google.com/maps/place/CareBuilders+at+Home/@40.4944267,-79.9337293,14z/data=!4m8!1m2!2m1!1sCareBuilders+at+Home!3m4!1s0x8834f296d10ec5e1:0x67bbfc34d92cbb68!8m2!3d40.4944267!4d-79.9337293",/static/images/carebuilders-at-home-pittsburgh.jpg,Daily: Open 24 hours,Veterans Care,,VA Benefits,,,English,,,4.7,65.0,Active,3/15/2026,40.4944267,-79.9337293
365 Health Services - Pittsburgh,365-health-services-pittsburgh-pittsburgh-pa,"365 Health Services is a licensed home health care agency serving the Greater Philadelphia area. We are committed to providing the highest quality in home care for you or your loved one. Our services include bathing and personal care, caregiver trainin...","1425 Forbes Ave Suite 100, Pittsburgh, PA 15219",Pittsburgh,Pennsylvania,15219,Uptown,(412) 376-6580,https://365healthservices.com/location/pittsburgh-pa/,"https://www.google.com/maps/place/365+Health+Services+-+Pittsburgh/@40.4379737,-79.9853236,14z/data=!4m8!1m2!2m1!1s365+Health+Services+-+Pittsburgh!3m4!1s0x8834f15791d32675:0x94521adcee832e66!8m2!3d40.4379737!4d-79.9853236",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AaBEURyty_bnz7JnwP9Gww&cb_client=search.gws-prod.gps&w=800&h=500&yaw=9.421924&pitch=0&thumbfov=100,"Monday: 9AM–5PM, Tuesday: 9AM–5PM, Wednesday: 9AM–5PM, Thursday: 9AM–5PM, Friday: 9AM–5PM, Saturday: Closed, Sunday: Closed",Personal Care,,Private Pay,,,English,,,4.7,27.0,Active,3/15/2026,40.4379737,-79.9853236
A1 Priorities Home Care Agency,a1-priorities-home-care-agency-pittsburgh-pa,"A1 Priorities Home Care Agency provides home care services to residents of Pittsburgh, Pennsylvania. We work with private pay clients to support their care needs at home. Contact us to learn more about how we can assist you.","3518 Fifth Ave, Pittsburgh, PA 15213",Pittsburgh,Pennsylvania,15213,West Oakland,(412) 900-2650,http://www.a1priorities.com/,"https://www.google.com/maps/place/A1+Priorities+Home+Care+Agency/@40.4408476,-79.9592165,14z/data=!4m8!1m2!2m1!1sA1+Priorities+Home+Care+Agency!3m4!1s0x8834f7a93382efd9:0x20b50685d73e12e3!8m2!3d40.4408476!4d-79.9592165",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tMpAphvEof1z37G7J8dCIA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=128.28993&pitch=0&thumbfov=100,Daily: Open 24 hours,Live-In Care,,Private Pay,,,English,,,5.0,3.0,Active,3/15/2026,40.4408476,-79.9592165
All American Home Care,all-american-home-care-pittsburgh-pa,A trusted Home Care Agency. A top Home Care provider in the state of Pennsylvania. Joint Commission Accredited Home Health Agency ☎ 215-494-9902 The agency accepts Private Pay. Clients have given All American Home Care a 5-star rating across 12 reviews. Contact All American Home Care to learn more about creating a personalized care plan for your loved one.,"1901 Centre Ave, Pittsburgh, PA 15219",Pittsburgh,Pennsylvania,15219,Hill District,(412) 500-0568,https://myallamericancare.com/service-area/pittsburgh-pa/%3Futm_source%3DGMB%26utm_medium%3DProfile%26utm_campaign%3DPittsburgh-PA,"https://www.google.com/maps/place/All+American+Home+Care/@40.4432946,-79.9809551,14z/data=!4m8!1m2!2m1!1sAll+American+Home+Care!3m4!1s0x8834f10fdf1a669f:0x6ddfe31f6442f464!8m2!3d40.4432946!4d-79.9809551",/static/images/all-american-home-care-pittsburgh.jpg,"Monday: 9AM–5PM, Tuesday: 9AM–5PM, Wednesday: 9AM–5PM, Thursday: 9AM–5PM, Friday: 9AM–5PM, Saturday: Closed, Sunday: Closed","Personal Care,Companion Services",,Private Pay,,Joint Commission,English,,,5.0,12.0,Active,3/15/2026,40.4432946,-79.9809551
1 Person At A Time,1-person-at-a-time-pittsburgh-pa,"1 Person At A Time LLC is a provider of home care services in Pittsburg, Pennsylvania. We utilize a holistic, collaborative approach to be of assistance to you. We work to determine what’s appropriate for you and your loved ones, helping you stay indep...","5019 Penn Ave, Pittsburgh, PA 15224",Pittsburgh,Pennsylvania,15224,Garfield,(412) 208-4646,http://www.1paat.com/,"https://www.google.com/maps/place/1+Person+At+A+Time/@40.4651634,-79.9432559,14z/data=!4m8!1m2!2m1!1s1+Person+At+A+Time!3m4!1s0x8834f274a72b4b6d:0x771f7aadd3afdc2a!8m2!3d40.4651634!4d-79.9432559",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gpvfe_kkNJ91iD2-qOo99w&cb_client=search.gws-prod.gps&w=800&h=500&yaw=16.240608&pitch=0&thumbfov=100,"Monday: 8:30AM–4:30PM, Tuesday: 8:30AM–4:30PM, Wednesday: 8:30AM–4:30PM, Thursday: 8:30AM–4:30PM, Friday: 8:30AM–4:30PM, Saturday: Closed, Sunday: Closed","Personal Care,Companion Services",,Private Pay,,,English,,,4.9,31.0,Active,3/15/2026,40.4651634,-79.9432559
